State,Unemployment Rate
Alabama,12.9
Alaska,12.9
Arizona,12.6
Arkansas,10.2
California,15.5
Colorado,11.3
Connecticut,7.9
Delaware,14.3
District of Columbia,11.1
Florida,12.9
Georgia,11.9
Hawaii,22.3
Idaho,11.5
Illinois,16.4
Indiana,16.9
Iowa,10.2
Kansas,11.2
Kentucky,15.4
Louisiana,14.5
Maine,10.6
Maryland,9.9
Massachusetts,15.1
Michigan,22.7
Minnesota,8.1
Mississippi,15.4
Missouri,9.7
Montana,11.3
Nebraska,8.3
Nevada,28.2
New Hampshire,16.3
New Jersey,15.3
New Mexico,11.3
New York,14.5
North Carolina,12.2
North Dakota,8.5
Ohio,16.8
Oklahoma,13.7
Oregon,14.2
Pennsylvania,15.1
Rhode Island,17.0
South Carolina,12.1
South Dakota,10.2
Tennessee,14.7
Texas,12.8
Utah,9.7
Vermont,15.6
Virginia,10.6
Washington,15.4
West Virginia,15.2
Wisconsin,14.1
Wyoming,9.2